"180","3","1","1","Чапаево","Chapaevo"
"180","3","2","2","Опытное Поле","Opitnoe Pole"
"180","3","1","","Майна","Maina"
"180","3","1","","Черемушки","Cheremushki"
"180","3","2","2","Минусинск","Minusinsk"
"180","3","1","","Нижняя Согра","Nizhnyaya Sogra"
"180","3","1","","Пригорск","Prigorsk"
"180","3","1","1","Расцвет","Rastsvet"
"180","3","1","","Саяногорский алюминиевый завод","Sayanogorskii alyuminievii zavod"
"180","3","1","3","Саяно-Шушенская ГЭС","Sayano-Shushenskaya GES"
"180","3","1","4","Изыхские Копи","Izikhskie Kopi"
"180","3","2","2","Топольки","Topolki"
"180","3","2","2","Прихолмье","Prikholme"
"180","3","2","2","Сосновый Бор","Sosnovii Bor"
"180","3","1","","Черногорск","Chernogorsk"
"180","3","2","5","Галактионово","Galaktionovo"
"180","3","2","2","Электрокомплекс Промплощадка","Elektrokompleks Promploshchadka"
"180","3","1","1","Тепличный","Teplichnii"
"180","3","2","2","Зеленый Бор","Zelenii Bor"
"180","3","1","1","Сахарный","Sakharnii"
"180","3","2","6","Сагайское","Sagaiskoe"
"180","3","1","1","Усть-Абакан","Ust-Abakan"
"180","3","1","1","Калинино","Kalinino"
"180","3","1","4","Подсинее","Podsinee"
"180","3","1","1","Ташеба","Tasheba"
"180","3","1","4","Белый Яр","Belii Yar"
"180","3","1","","Саяногорск","Sayanogorsk"
"180","3","2","7","Шушенское","Shushenskoe"
"180","3","2","7","Субботино","Subbotino"
"180","3","1","1","Курганная","Kurgannaya"
"180","3","1","1","Московское","Moskovskoe"
"180","3","1","","Молодежный","Molodezhnii"
"180","3","2","7","Сизая","Sizaya"
"180","3","2","7","Казанцево","Kazantsevo"
"180","3","2","2","Селиваниха","Selivanikha"
"180","3","1","1","Солнечное","Solnechnoe"
"180","3","1","4","Новороссийское","Novorossiiskoe"
"180","3","1","1","Зеленое","Zelenoe"
"180","3","1","1","Сапогов","Sapogov"
"180","3","1","1","Доможаков","Domozhakov"
"180","3","1","1","Райков","Raikov"
"180","3","1","4","Кирово","Kirovo"
"180","3","1","8","Туманное","Tumannoe"
"180","3","2","7","Алтан","Altan"
"180","2","2","9","Ачинск","Achinsk"
"180","3","2","9","Горный","Gornii"
"180","3","2","9","Ключи","Klyuchi"
"180","3","2","10","Промзона НПЗ","Promzona NPZ"
"180","3","2","9","Южная промзона","Yuzhnaya promzona"
