"Бельцы","3","128","Beltsi"
"Бендеры","3","129","Benderi"
"Бессарабка","3","130","Bessarabka"
"Бируинца","3","131","Biruintsa"
"Бричаны","3","132","Brichani"
"Быковец","3","133","Bikovets"
"Гиндешты","3","134","Gindeshti"
"Глодяны","3","135","Glodyani"
"Дондюшаны","3","136","Dondyushani"
"Дрокия","3","137","Drokiya"
"Единец (Единцы)","3","138","Yedinets (Edintsi)"
"Каинары","3","139","Kainari"
"Калараш","3","140","Kalarash"
"Кантемир","3","141","Kantemir"
"Кэушень","3","139","Keushen"
"Кагул","3","142","Kagul"
"Корнешты","3","143","Korneshti"
"Костешты","3","144","Kosteshti"
"Криулень","3","145","Kriulen"
"Купчинь","3","146","Kupchin"
"Леова","3","147","Leova"
"Липканы","3","132","Lipkani"
"Маркулешты","3","134","Markuleshti"
"Ниспорены","3","148","Nisporeni"
"Новые Анены","3","149","Novie Aneni"
"Окница","3","150","Oknitsa"
"Оргеев","3","151","Orgeev"
"Атаки","3","150","Ataki"
"Резина","3","152","Rezina"
"Рышканы","3","144","Rishkani"
"Сороки","3","153","Soroki"
"Страшены","3","154","Strasheni"
"Сынжерей","3","131","Sinzherei"
"Тараклия","3","155","Tarakliya"
"Твардица","3","155","Tvarditsa"
"Теленешты","3","156","Teleneshti"
"Унгены","3","157","Ungeni"
"Фалешты","3","158","Faleshti"
"Флорешты","3","134","Floreshti"
"Фрунзе","3","150","Frunze"
"Хынчешты","3","159","Khincheshti"
"Чимишлия","3","160","Chimishliya"
"Шолданешты","3","161","Sholdaneshti"
"Штефан-Водэ","3","162","Shtefan-Vode"
"Яловены","3","163","Yaloveni"
"Яргара","3","147","Yargara"
"Комрат","3","164","Komrat"
"Авдарма","3","164","Avdarma"
"Бешалма","3","164","Beshalma"
"Буджак","3","164","Budzhak"
"Дезгинжа","3","164","Dezginzha"
"Русская Киселия","3","164","Russkaya Kiseliya"
"Кирсова","3","164","Kirsova"
"Конгазчик","3","164","Kongazchik"
"Котовское","3","164","Kotovskoe"
"Светлый","3","164","Svetlii"
"Алекссевка","3","164","Alekssevka"
"Ферапонтьевка","3","164","Ferapontevka"
"Чок-Майдан","3","164","Chok-Maidan"
"Чадыр Лунга","3","165","Chadir Lunga"
"Баурчи","3","165","Baurchi"
"Бешгёз","3","165","Beshgyoz"
"Гайдар","3","165","Gaidar"
"Жолтай","3","165","Zholtai"
"Казаклия","3","165","Kazakliya"
"Кириет-Лунга","3","165","Kiriet-Lunga"
"Копчак","3","165","Kopchak"
"Томай","3","165","Tomai"
"Вулканешты","3","166","Vulkaneshti"
"Етулия","3","166","Yetuliya"
"Карбалия","3","166","Karbaliya"
"Чишмикёй","3","166","Chishmikyoi"
"Тирасполь","4","167","Tiraspol"
"Григориополь","4","167","Grigoriopol"
"Днестровск","4","167","Dnestrovsk"
"Дубоссары","4","167","Dubossari"
"Каменка","4","167","Kamenka"
"Рыбница","4","167","Ribnitsa"
"Слободзея","4","167","Slobodzeya"
"Суклея","4","167","Sukleya"
"Варница","4","167","Varnitsa"
"Бендеры","4","167","Benderi"
"Кишинёв","1","168","Kishinyov"
"Кодру","2","168","Kodru"
"Крикова","2","168","Krikova"
"Дурлешты","2","168","Durleshti"
"Сынджера","2","168","Sindzhera"
"Ревака","2","168","Revaka"
"Вадул-луй-Водэ","2","168","Vadul-lui-Vode"
"Ватра","2","168","Vatra"
"Трушены","2","168","Trusheni"
"Гидигич","2","168","Gidigich"
"Ставчены","2","168","Stavcheni"
"Гратиешты","2","168","Gratieshti"
"Крузешты","2","168","Kruzeshti"
"Будешти","2","168","Budeshti"
"Тогатин","2","168","Togatin"
"Колоница","2","168","Kolonitsa"
"Бубуечь","2","168","Bubuech"
"Бачой","2","168","Bachoi"
